name,calories,fat,carbs,restaurant
Cajun Pasta w/ Grilled Chicken (Lunch Combo),870,44,71,Chili's
Cajun Pasta w/ Grilled Shrimp,1480,81,125,Chili's
Classic Sirloin (Lunch Combo),360,18,7,Chili's
Classic Sirloin,1010,60,59,Chili's
Country-Fried Steak,1270,71,120,Chili's
Flame-Grilled Ribeye,1570,116,57,Chili's
Fried Shrimp w/ Cocktail Sauce,270,12,25,Chili's
GG Classic Sirloin,370,9,20,Chili's
Grilled Salmon w/ Garlic &amp; Herbs,310,15,1,Chili's
Half Rack of Baby Back Ribs,760,49,14,Chili's
Spicy Garlic &amp; Lime Grilled Shrimp,150,8,4,Chili's
Beef Fajitas - w/o Tortillas and Condiments,390,14,27,Chili's
Chicken Fajitas - w/o Tortillas and Condiments,360,10,24,Chili's
Fajita Trio - w/o Tortillas and Condiments,530,20,30,Chili's
Pepper Pals® Cheese Pizza,570,24,67,Chili's
Pepper Pals® Cheese Quesadilla,470,24,42,Chili's
Pepper Pals® Chocolate Shake,460,22,61,Chili's
Pepper Pals® Corn Dog,270,14,31,Chili's
Pepper Pals® Crispy Chicken Crispers,380,22,19,Chili's
Pepper Pals® Grilled Cheese Sandwich,530,42,30,Chili's
Pepper Pals® Grilled Chicken Platter,160,4,2,Chili's
Pepper Pals® Grilled Chicken Sandwich,230,5,21,Chili's
Pepper Pals® Little Chicken Crispers,340,15,21,Chili's
Pepper Pals® Little Mouth Burger,330,18,23,Chili's
Pepper Pals® Little Mouth Cheeseburger,400,24,24,Chili's
Pepper Pals® Macaroni &amp; Cheese Kraft,500,18,69,Chili's
Pepper Pals® Side Celery Sticks w/ Ranch,80,5,10,Chili's
Pepper Pals® Side Steamed Broccoli,30,0,6,Chili's
Boneless Buffalo Chicken Salad,990,68,48,Chili's
Buffalo Chicken Ranch Sandwich on White Bun with fries,1410,68,143,Chili's
Grilled Ham &amp; Swiss Sandwich w/ fries,1360,71,137,Chili's
Add Spicy Garlic &amp; Lime Shrimp to any Entrée,80,4,2,Chili's
"Cheese, Swiss",80,6,1,Chili's
"Dressing, Low Fat Ranch",80,5,9,Chili's
Salsa Only as served w/ Chips,50,0,8,Chili's
Chicken Enchilada Soup,400,25,23,Chili's
Chicken Club Tacos,1260,60,120,Chili's
Pepper Pals® Side Cinnamon Apples,280,11,48,Chili's
Bacon Ranch Chicken Quesadilla,1650,107,96,Chili's
Caribbean Salad w/ Grilled Chicken,610,25,65,Chili's
California Club Sandwich w/ Fries,740,38,73,Chili's
Santa Fe Chicken Wrap w/ Ancho-Chile Ranch &amp; fries,1320,73,126,Chili's
Add Spicy Garlic &amp; Lime Shrimp to any Entrée,150,8,4,Chili's
Cinnamon Apples,280,11,48,Chili's
"Dressing, Ranch",180,19,2,Chili's
Sour Cream,60,6,2,Chili's
Chicken Enchilada Soup,200,13,11,Chili's
Pepper Pals® Side Corn Cob w/o Butter,150,2,32,Chili's
Bacon Ranch Chicken Quesadilla w/ Fries,1070,67,78,Chili's
Caribbean Salad w/ Grilled Shrimp,620,31,66,Chili's
California Club Sandwich w/ fries,1490,76,147,Chili's
Southwestern BLT Sandwich w/ Fries,630,33,68,Chili's
Applewood Smoked Bacon,90,7,0,Chili's
Cole Slaw,240,20,15,Chili's
"Gravy, Black Pepper",30,2,4,Chili's
Steamed Broccoli,80,6,6,Chili's
Chili's Terlingua Chili w/ Toppings,360,20,17,Chili's
Pepper Pals® Side Homestyle Fries,190,7,30,Chili's
Bacon Ranch Steak Quesadilla,1680,111,98,Chili's
Chicken Caesar Salad,650,44,26,Chili's
Classic Turkey Sandwich w/ Fries (Lunch Combo),690,34,69,Chili's
Steakhouse Sandwich w/ fries,1010,45,115,Chili's
Avocado Slices,80,7,4,Chili's
"Dressing, Ancho Chile Ranch",190,19,3,Chili's
Guacamole,45,4,3,Chili's
Sweet Corn on the Cob w/ Butter,200,7,32,Chili's
Chili's Terlingua Chili w/ Toppings,180,10,9,Chili's
Pepper Pals® Side Kernel Corn,130,2,22,Chili's
Memphis Dry Rub Ribs (1/2 rack),1080,57,82,Chili's
Cobb Salad,710,52,22,Chili's
Classic Turkey Sandwich w/ fries,1340,64,138,Chili's
Fried Shrimp w/ Cocktail Sauce,990,52,108,Chili's
BBQ Sauce (Original),50,0,12,Chili's
"Dressing, Avocado Ranch",140,14,3,Chili's
Homestyle Fries,380,13,61,Chili's
"Wheat Bun, Plain",360,9,62,Chili's
Loaded Baked Potato Soup,210,15,11,Chili's
Pepper Pals® Side Mandarin Oranges,35,0,8,Chili's
Original Ribs,2170,123,137,Chili's
House Salad No Dressing,180,11,15,Chili's
Fajita Chicken Sandwich w/ Fries,730,38,70,Chili's
GG Salmon w/ Garlic &amp; Herbs,480,17,37,Chili's
Black Bean Patty Only,200,2,25,Chili's
"Dressing, Bleu Cheese",240,26,1,Chili's
Honey Chipotle Sauce,140,0,34,Chili's
Broccoli Cheese Soup,230,15,16,Chili's
Sweet Corn,450,36,31,Chili's
Pepper Pals® Side Mashed Potatoes - w/o Gravy,120,7,14,Chili's
Original Ribs (1/2 rack),1140,63,75,Chili's
Lunch House Salad No Dressing,90,5,7,Chili's
GG Grilled Chicken Sandwich w/ Steamed Broccoli &amp; fries,610,13,78,Chili's
Grilled Salmon w/ Garlic &amp; Herbs,580,28,38,Chili's
Black Beans,100,1,18,Chili's
"Dressing, Citrus Balsamic Vinaigrette",250,25,6,Chili's
Loaded Mashed Potatoes,390,25,28,Chili's
Broccoli Cheese Soup,110,7,8,Chili's
Sweet Corn,230,18,16,Chili's
Pepper Pals® Side Pineapple,35,0,9,Chili's
Shiner Bock® BBQ Ribs,2310,123,168,Chili's
Over-The-Top Cobb Salad w/ Avocado Ranch,430,33,12,Chili's
GG Santa Fe Chicken Wrap w/ Steamed Broccoli &amp; fries,680,25,80,Chili's
Add Fried Shrimp to any Entrée,110,6,7,Chili's
"Cheese, American",70,6,1,Chili's
"Dressing, Honey Lime",200,17,13,Chili's
Mashed Potatoes w/ Black Pepper Gravy,280,15,31,Chili's
Chicken &amp; Green Chile Soup,200,7,21,Chili's
Loaded Baked Potato Soup,410,30,22,Chili's
Pepper Pals® Side Rice,190,7,30,Chili's
Shiner Bock® BBQ Ribs (1/2 rack),1200,63,91,Chili's
Quesadilla Explosion Salad,1400,89,90,Chili's
Grilled Chicken Sandwich on White Bun w/ fries,1280,63,121,Chili's
Add Fried Shrimp to any Entrée,220,12,15,Chili's
"Cheese, Cheddar",80,7,0,Chili's
"Dressing, Honey Mustard",200,22,1,Chili's
Ranch Only as served w/ Chips,480,50,6,Chili's
Chicken &amp; Green Chile Soup,100,4,11,Chili's
Crispy Chicken Tacos,1630,78,171,Chili's
Pepper Pals® Side Salad w/ Low Fat Ranch,130,8,14,Chili's
Memphis Dry Rub Ribs,1990,111,137,Chili's
BBQ Pulled Pork Sandwich on White Bun with fries,1670,85,172,Chili's
Grilled Ham &amp; Swiss Sandwich w/ Fries (Lunch Combo),680,36,68,Chili's
Add Rice and Black Beans,290,7,48,Chili's
"Cheese, Provolone",80,6,0,Chili's
"Dressing, Honey Mustard No Fat",70,0,11,Chili's
Rice,190,7,30,Chili's
Chicken Enchilada,400,25,23,Chili's
Crispy Shrimp Tacos,1500,68,174,Chili's
Green Tomatillo Salsa,15,0,3,Chipotle Mexican Grill
Sour Cream,120,10,2,Chipotle Mexican Grill
Fresh Tomato Salsa,5,0,1,Chipotle Mexican Grill
Cheese (taco),35,3,0,Chipotle Mexican Grill
Pinto Beans,120,1,22,Chipotle Mexican Grill
Carnitas,190,8,1,Chipotle Mexican Grill
Chips,570,27,73,Chipotle Mexican Grill
Chicken,60,2,0,Chipotle Mexican Grill
Chips,140,7,18,Chipotle Mexican Grill
Red Tomatillo Salsa,40,1,8,Chipotle Mexican Grill
Green Tomatillo Salsa,5,0,1,Chipotle Mexican Grill
Crispy Taco Shell,60,2,9,Chipotle Mexican Grill
Guacamole,150,13,8,Chipotle Mexican Grill
Barbacoa,170,7,2,Chipotle Mexican Grill
Fresh Tomato Salsa,20,0,4,Chipotle Mexican Grill
Fajita Vegetables,5,0,1,Chipotle Mexican Grill
Steak,60,2,1,Chipotle Mexican Grill
Flour Tortilla (burrito),290,9,44,Chipotle Mexican Grill
Cilantro-Lime Rice,130,3,23,Chipotle Mexican Grill
Romaine Lettuce (salad),10,0,2,Chipotle Mexican Grill
Black Beans,120,1,23,Chipotle Mexican Grill
Romaine Lettuce (tacos),5,0,1,Chipotle Mexican Grill
Crispy Taco Shell,60,2,9,Chipotle Mexican Grill
Romaine Lettuce (taco),5,0,1,Chipotle Mexican Grill
Cilantro-Lime Rice (taco),40,1,8,Chipotle Mexican Grill
Original Leg ,110,6,3,Church's
Boneless Wing - with Sauce ,95,5,18,Church's
Fish Fillet (1) ,190,10,14,Church's
Sweet Corn Nuggets (8) ,250,12,30,Church's
Sweet Tea - Large ,360,0,90,Church's
Spicy Thigh ,480,35,20,Church's
Southern Style Chicken Sandwich ,450,16,50,Church's
Jalapeño Pepper ,5,0,1,Church's
Red Beans &amp; Rice ,140,12,37,Church's
Spicy Leg ,180,11,8,Church's
Double Chicken N Cheese Sandwich ,740,38,63,Church's
Corn ,140,3,24,Church's
Macaroni &amp; Cheese ,190,7,24,Church's
Original Breast ,200,11,3,Church's
Spicy Chicken Sandwich ,360,18,35,Church's
Honey-Butter Biscuit ,240,12,28,Church's
Jalapeño Cheese Bombers® (4) ,160,8,20,Church's
Unsweet Tea - Medium ,0,0,0,Church's
Spicy Wing ,430,27,17,Church's
Chicken Sandwich with Cheese ,500,26,48,Church's
Mashed Potatoes &amp; Gravy ,110,2,21,Church's
Cajun Rice ,130,7,16,Church's
Unsweet Tea - Large ,0,0,0,Church's
Original Thigh ,330,23,8,Church's
Original Chicken Sandwich ,360,18,35,Church's
Livers (6) ,840,42,54,Church's
French Fries ,140,6,19,Church's
Unsweet Tea - Small ,0,0,0,Church's
Original Wing ,300,18,7,Church's
Boneless Wing - without Sauce ,80,5,15,Church's
Chicken Fried Steak ,470,28,36,Church's
Green Beans ,35,0,7,Church's
Sweet Tea - Medium ,270,0,68,Church's
Spicy Breast ,320,20,12,Church's
Spicy Southern Style Chicken Sandwich ,550,27,50,Church's
Cole Slaw ,150,10,15,Church's
Apple Pie ,220,8,35,Church's
Tender Strips™ ,120,6,6,Church's
Nuggets (5) ,160,7,13,Church's
Okra ,170,11,17,Church's
Strawberry Shortcake ,500,14,95,Church's
Spicy Tender Strips™ ,140,7,7,Church's
Shrimp (8) ,280,12,24,Church's
Collard Greens ,35,0,7,Church's
Sweet Tea - Small ,190,0,48,Church's
The Commuter Croissant (Whole Eggs),680,44,43,Corner Bakery Cafe
"Bacon, 3-slices - G",110,110,110,Corner Bakery Cafe
"Oatmeal Toppings - Dried Cranberries - LF, VG, G",25,25,25,Corner Bakery Cafe
Baked French Toast w/Sausage &amp; Scrambled Eggs (Egg Whites),1040,31,144,Corner Bakery Cafe
Cinnamon Roll - V,650,24,96,Corner Bakery Cafe
The Greek Salad - G (Café &amp; Combo),300,19,23,Corner Bakery Cafe
Anaheim Scrambler - G (Whole Eggs),580,46,10,Corner Bakery Cafe
Ham &amp; Swiss Panini (Whole Eggs),490,490,490,Corner Bakery Cafe
"Seasonal Fruit Medley - LF, VG, G",70,70,70,Corner Bakery Cafe
"Oatmeal Toppings - Fresh Berry &amp; Yogurt Parfait - LF, V",390,390,390,Corner Bakery Cafe
"Cinnamon Raisin Bagel - LF, VG",330,2,72,Corner Bakery Cafe
Banana Muffin - V,530,26,67,Corner Bakery Cafe
Caesar Salad w/Roasted Chicken (Café &amp; Combo),420,32,13,Corner Bakery Cafe
Chopped Salad - G (Entrée),790,57,33,Corner Bakery Cafe
Caesar Salad (side &amp; trio portion),230,20,8,Corner Bakery Cafe
Asian Edamame Salad - V (Side),140,8,12,Corner Bakery Cafe
Tuna Salad - G (Side),400,29,3,Corner Bakery Cafe
"Three Lentil Vegetable - LF, V, G  (bowl)",210,4,36,Corner Bakery Cafe
Pesto Cavatappi (Combo),640,34,55,Corner Bakery Cafe
"Farmer's Scrambler - V, G (Whole Eggs)",410,27,13,Corner Bakery Cafe
The Commuter Croissant (Egg Whites),600,600,600,Corner Bakery Cafe
"Swiss Oatmeal - LF, V, G* (Sweet Crisp not included)",360,360,360,Corner Bakery Cafe
Baked French Toast w/Bacon &amp; Fresh Fruit,1030,39,154,Corner Bakery Cafe
Blueberry Muffin - V,510,22,70,Corner Bakery Cafe
Chopped Salad - G (Café &amp; Combo),400,28,18,Corner Bakery Cafe
Harvest Salad - V (Entrée),760,45,72,Corner Bakery Cafe
Mixed Greens Salad w/dressing (side &amp; trio portion) - V,120,8,9,Corner Bakery Cafe
Avocado Wedge - VG (Side),280,20,4,Corner Bakery Cafe
Big Al's Chili w/Cheddar Cheese (cup),390,18,29,Corner Bakery Cafe
Parmesan Cheese (Carbonara &amp; Penne) - V (Combo),30,2,0,Corner Bakery Cafe
Anaheim Panini (Whole Eggs),550,32,39,Corner Bakery Cafe
"Breakfast Potatoes - VG, G",140,140,140,Corner Bakery Cafe
"Oatmeal Toppings - Toasted Almonds - VG, G",35,35,35,Corner Bakery Cafe
Baked French Toast - V,850,28,138,Corner Bakery Cafe
Pecan Sticky Bun,1020,62,107,Corner Bakery Cafe
Asian Wonton Salad (Entrée),530,16,63,Corner Bakery Cafe
Pasta Caprese Salad - V (Trio),140,7,12,Corner Bakery Cafe
"Roasted Tomato Basil w/Croutons - LF, V",200,7,30,Corner Bakery Cafe
Loaded Baked Potato w/Cheddar Cheese &amp; Green Onion,630,43,36,Corner Bakery Cafe
Chicken Carbonara - (Combo),680,33,62,Corner Bakery Cafe
D.C. Chicken Salad on Steakhouse Rye Bread - (Combo),310,11,40,Corner Bakery Cafe
D.C. Chicken Salad on Steakhouse Rye Bread - (Whole),620,21,79,Corner Bakery Cafe
Mom's Egg Salad on White Bread (Combo),250,13,24,Corner Bakery Cafe
"Farmer's Scrambler - V, G (Egg Whites)",250,11,12,Corner Bakery Cafe
Ham &amp; Swiss Panini (Egg Whites),410,410,410,Corner Bakery Cafe
"Oatmeal Toppings - Currants - LF, VG, G",35,35,35,Corner Bakery Cafe
Baked French Toast w/Sausage &amp; Scrambled Eggs (Whole Eggs),1200,48,145,Corner Bakery Cafe
"Plain Bagel - LF, VG",330,2,69,Corner Bakery Cafe
Croissant - V,340,16,39,Corner Bakery Cafe
Santa Fe Ranch Salad - G (Café &amp; Combo),420,25,25,Corner Bakery Cafe
The Greek Salad - G (Entrée),530,35,39,Corner Bakery Cafe
"Egg Salad - V, G (Trio)",230,19,3,Corner Bakery Cafe
Loaded Baked Potato w/Cheddar Cheese &amp; Green Onion,410,28,23,Corner Bakery Cafe
Mom's Chicken Noodle - LF  (bowl),210,6,28,Corner Bakery Cafe
Caesar Salad,230,20,8,Corner Bakery Cafe
All American Scrambler (with Bacon) - G (Whole Eggs),350,27,3,Corner Bakery Cafe
Chicken Apple Sausage Panini (Whole Eggs),540,24,38,Corner Bakery Cafe
"Chicken Apple Sausage, 2-patties",110,110,110,Corner Bakery Cafe
"Oatmeal Toppings - Toasted Walnuts - VG, G",50,50,50,Corner Bakery Cafe
"8-Grain Bagel - LF, VG",330,2,72,Corner Bakery Cafe
Asian Wonton Salad (Café &amp; Combo),270,8,33,Corner Bakery Cafe
Caesar Salad (Entrée),710,63,21,Corner Bakery Cafe
"Seasonal Fruit Medley - LF, VG, G (Trio)",70,0,16,Corner Bakery Cafe
Pasta Caprese Salad - V (Side),210,10,18,Corner Bakery Cafe
Italian Wedding Soup w/ Parmesan Cheese  (bowl),280,13,26,Corner Bakery Cafe
Half Moon Cheese Ravioli - V (Combo),330,13,37,Corner Bakery Cafe
Ham on Pretzel Bread - LF (Combo),340,10,43,Corner Bakery Cafe
Ham on Pretzel Bread - LF (Whole),680,20,85,Corner Bakery Cafe
Mom's Roast Beef on Sourdough Bread (Combo),255,4,35,Corner Bakery Cafe
Mom's Corned Beef on Caraway Rye Bread (Whole),480,4,75,Corner Bakery Cafe
Corned Beef Reuben (Combo),380,18,39,Corner Bakery Cafe
All American Scrambler (with Sausage) (Whole Eggs),350,20,7,Corner Bakery Cafe
Smoked Bacon &amp; Cheddar Panini (Whole Eggs),540,32,35,Corner Bakery Cafe
"Harvest Toast - LF, VG",170,170,170,Corner Bakery Cafe
"Oatmeal Toppings - Sweet Crisp, each - V",150,150,150,Corner Bakery Cafe
"Blueberry Bagel - LF, VG",340,2,73,Corner Bakery Cafe
Caesar Salad (Café &amp; Combo),360,31,12,Corner Bakery Cafe
Caesar Salad w/Roasted Chicken (Entrée),820,65,23,Corner Bakery Cafe
Tuna Salad - G (Trio),280,20,2,Corner Bakery Cafe
"Seasonal Fruit Medley - LF, VG, G (Side)",100,0,26,Corner Bakery Cafe
"Roasted Tomato Basil w/Croutons - LF, V",320,12,48,Corner Bakery Cafe
"Penne with Marinara - V, LF (Combo)",330,8,53,Corner Bakery Cafe
Poblano Fresco Chicken on Poblano Cheese Bread - (Combo),415,20,37,Corner Bakery Cafe
Poblano Fresco Chicken on Poblano Cheese Bread - (Whole),830,39,74,Corner Bakery Cafe
Mom's Roasted Chicken on Harvest Bread (Combo),250,4,32,Corner Bakery Cafe
Zesty Chicken Tortilla - LF,110,5,12,Corner Bakery Cafe
All American Scrambler (with Sausage) (Egg Whites),190,3,6,Corner Bakery Cafe
Chicken Apple Sausage Panini (Egg Whites),460,460,460,Corner Bakery Cafe
"Oatmeal w/all toppings - LF, V, G* (Sweet Crisp not included)",330,330,330,Corner Bakery Cafe
Baked French Toast w/Bacon &amp; Scrambled Eggs (Egg Whites),1040,39,140,Corner Bakery Cafe
Cinnamon Crumb Muffin - V,650,30,90,Corner Bakery Cafe
Harvest Salad w/Roasted Chicken (Café &amp; Combo),500,26,37,Corner Bakery Cafe
Mixed Greens Salad - V (Entrée),420,33,26,Corner Bakery Cafe
Avocado Wedge - VG (Trio),150,10,2,Corner Bakery Cafe
"Egg Salad - V, G (Side)",340,27,5,Corner Bakery Cafe
Mom's Chicken Noodle - LF  (cup),140,4,19,Corner Bakery Cafe
Big Al's Chili w/Cheddar Cheese (bowl),590,28,44,Corner Bakery Cafe
Half Moon Cheese Ravioli - V (Entrée),640,26,73,Corner Bakery Cafe
Tomato Mozzarella on Ciabatta Ficelle Bread - V (Combo),340,14,39,Corner Bakery Cafe
Tomato Mozzarella on Ciabatta Ficelle Bread - V (Whole),680,27,74,Corner Bakery Cafe
Mom's Tuna Salad on Harvest Bread (Whole),640,25,66,Corner Bakery Cafe
Corner Club (Whole),730,31,71,Corner Bakery Cafe
Pasta Marinara - V,300,6,53,Corner Bakery Cafe
All American Scrambler (with Bacon) - G (Egg Whites),190,11,2,Corner Bakery Cafe
Anaheim Panini (Egg Whites),470,470,470,Corner Bakery Cafe
"Oatmeal w/out toppings - LF, V, G* (Sweet Crisp not included)",140,140,140,Corner Bakery Cafe
Baked French Toast w/Bacon &amp; Scrambled Eggs (Whole Eggs),1200,55,141,Corner Bakery Cafe
Chocolate Muffin - V,530,28,62,Corner Bakery Cafe
Harvest Salad - V (Café &amp; Combo),430,25,36,Corner Bakery Cafe
Harvest Salad w/Roasted Chicken (Entrée),870,47,74,Corner Bakery Cafe
Asian Edamame Salad - V (Trio),90,5,8,Corner Bakery Cafe
D.C. Chicken Salad - G (Side),360,21,22,Corner Bakery Cafe
Cheddar Broccoli  (cup),370,28,19,Corner Bakery Cafe
Country Bread Boule - Bowl Option  (cup),1040,3,213,Corner Bakery Cafe
Chicken Carbonara - (Entrée),1190,62,99,Corner Bakery Cafe
Smoked Turkey Cobb - (Combo),360,19,28,Corner Bakery Cafe
Smoked Turkey Cobb - (Whole),720,38,56,Corner Bakery Cafe
Mom's Smoked Ham on White Bread (Whole),410,11,46,Corner Bakery Cafe
Chicken Pomodori (Whole),740,28,70,Corner Bakery Cafe
Macaroni &amp; Cheese - Kraft,350,11,48,Corner Bakery Cafe
Mom's Chicken Noodle - LF,70,2,9,Corner Bakery Cafe
Anaheim Scrambler - G (Egg Whites),410,29,8,Corner Bakery Cafe
Smoked Bacon &amp; Cheddar Panini (Egg Whites),460,460,460,Corner Bakery Cafe
"Oatmeal Toppings - Brown Sugar - LF, VG, G",45,45,45,Corner Bakery Cafe
Baked French Toast w/Sausage &amp; Fresh Fruit,1030,31,158,Corner Bakery Cafe
Pumpkin Muffin - V,460,18,69,Corner Bakery Cafe
Mixed Greens Salad - V (Café &amp; Combo),220,17,13,Corner Bakery Cafe
Santa Fe Ranch Salad - G (Entrée),810,49,45,Corner Bakery Cafe
D.C. Chicken Salad - G (Trio),240,14,15,Corner Bakery Cafe
"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (cup)",230,11,26,Corner Bakery Cafe
Cheddar Broccoli  (bowl),550,41,28,Corner Bakery Cafe
"Penne with Marinara - V, LF (Entrée)",560,15,89,Corner Bakery Cafe
Turkey on Pretzel Bread - LF,335,8,43,Corner Bakery Cafe
Turkey on Pretzel Bread - LF,670,15,87,Corner Bakery Cafe
Mom's Turkey on Harvest Bread (Whole),470,5,66,Corner Bakery Cafe
Corned Beef Reuben (Whole),760,37,78,Corner Bakery Cafe
Pasta w/ Cream Sauce,440,20,49,Corner Bakery Cafe
Peanut Butter &amp; Jelly Sandwich - V (Combo),365,17,47,Corner Bakery Cafe
Grilled Cheese Sandwich - V (Whole),540,30,42,Corner Bakery Cafe
Loaded Baked Potato,210,14,12,Corner Bakery Cafe
"Greek Vegetable Salad - V, G (Trio)",60,3,6,Corner Bakery Cafe
Italian Wedding Soup w/ Parmesan Cheese  (cup),190,8,18,Corner Bakery Cafe
"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (bowl)",360,16,40,Corner Bakery Cafe
Mixed Greens Salad w/dressing - V,120,8,9,Corner Bakery Cafe
Chicken Carbonara - (Combo),340,12,37,Corner Bakery Cafe
Chicken Carbonara - (Whole),680,24,74,Corner Bakery Cafe
Mom's Corned Beef on Caraway Rye Bread (Combo),240,2,37,Corner Bakery Cafe
Add Spread - Mayo (Combo),40,4,1,Corner Bakery Cafe
Chicken Pomodori (Combo),370,14,35,Corner Bakery Cafe
Grilled Ham &amp; Swiss (Whole),680,22,70,Corner Bakery Cafe
Ham Sandwich on Harvest Bread - LF (Whole),410,7,60,Corner Bakery Cafe
"Roasted Tomato Basil - LF, V",80,2,13,Corner Bakery Cafe
Banana Baby Bundt Cake - V,620,30,81,Corner Bakery Cafe
Oatmeal Raisin Cookie - V,290,10,47,Corner Bakery Cafe
Raspberry Bar - V,530,24,72,Corner Bakery Cafe
Caramel Latte - Whole,490,13,81,Corner Bakery Cafe
Cappuccino - Nonfat,120,0,17,Corner Bakery Cafe
Chai Latte - Whole,270,15,20,Corner Bakery Cafe
Country Small Oblong - VG (whole),2600,8,532,Corner Bakery Cafe
Poblano Cheese Batard - V,410,13,60,Corner Bakery Cafe
Pesto Cavatappi (Entrée),1140,64,88,Corner Bakery Cafe
Uptown Turkey on Harvest Bread - (Combo),330,12,35,Corner Bakery Cafe
Uptown Turkey on Harvest Bread - (Whole),660,23,70,Corner Bakery Cafe
California Grille - V (Combo),305,13,32,Corner Bakery Cafe
Green Chile &amp; Chicken (Whole),740,27,72,Corner Bakery Cafe
Grilled Cheese Sandwich - V (Combo),290,17,21,Corner Bakery Cafe
Peanut Butter &amp; Jelly Sandwich on Harvest Bread - V (Combo),405,16,56,Corner Bakery Cafe
Ham Sandwich - LF (Whole),330,9,42,Corner Bakery Cafe
Italian Wedding Soup,100,4,9,Corner Bakery Cafe
"Seasonal Fruit Medley - LF, VG, G",70,0,16,Corner Bakery Cafe
Monster Cookie - V,340,14,51,Corner Bakery Cafe
Maple Pecan Bar - V,730,44,80,Corner Bakery Cafe
Caramel Latte - Whole,380,11,61,Corner Bakery Cafe
Cappuccino - Nonfat,90,0,12,Corner Bakery Cafe
Chai Latte - Whole,200,11,15,Corner Bakery Cafe
Country Boule - VG (whole),1040,3,213,Corner Bakery Cafe
Ciabatta Ficelle - V,360,6,65,Corner Bakery Cafe
Poblano Fresco Roast Beef on Poblano Cheese Bread - (Combo),425,21,36,Corner Bakery Cafe
Poblano Fresco Roast Beef on Poblano Cheese Bread - (Whole),850,42,72,Corner Bakery Cafe
Mom's Smoked Ham on White Bread (Combo),205,6,23,Corner Bakery Cafe
Mom's Roast Beef on Sourdough Bread (Whole),510,8,70,Corner Bakery Cafe
Grilled Ham &amp; Swiss (Combo),340,11,35,Corner Bakery Cafe
Kids' Scrambler w/Toast &amp; Fresh Fruit,320,12,39,Corner Bakery Cafe
Turkey Sandwich on Harvest Bread - LF (Whole),400,5,62,Corner Bakery Cafe
Lemon Pound Cake - Slice,480,22,64,Corner Bakery Cafe
Whoopee Pie - Chocolate Mocha - V,390,21,45,Corner Bakery Cafe
Cappuccino - Whole,140,7,11,Corner Bakery Cafe
Truffle Mocha - Whole,510,16,95,Corner Bakery Cafe
Caramel Latte - Nonfat,320,2,63,Corner Bakery Cafe
Truffle Mocha - Nonfat,300,1,72,Corner Bakery Cafe
Chai Latte - Nonfat,210,0,29,Corner Bakery Cafe
Old Fashioned Lemonade - VG,520,0,136,Corner Bakery Cafe
Cinnamon Raisin - V (slice),220,7,32,Corner Bakery Cafe
Raisin Pecan Miche - VG (whole),2070,61,340,Corner Bakery Cafe
Poblano Fresco Vegetarian on Poblano Cheese Bread - V,395,22,37,Corner Bakery Cafe
Poblano Fresco Vegetarian on Poblano Cheese Bread - V,790,44,73,Corner Bakery Cafe
Mom's Tuna Salad on Harvest Bread (Combo),320,13,33,Corner Bakery Cafe
Mom's Roasted Chicken on Harvest Bread (Whole),500,8,65,Corner Bakery Cafe
California Grille - V (Whole),610,26,64,Corner Bakery Cafe
Half Moon Cheese Ravioli - V,320,14,37,Corner Bakery Cafe
Cheddar Broccoli,190,14,10,Corner Bakery Cafe
Kid's Apple Juice,80,0,20,Corner Bakery Cafe
"Baby Carrots - LF, VG, G",30,0,7,Corner Bakery Cafe
Pumpkin Pound Cake - Slice,490,19,73,Corner Bakery Cafe
Whoopee Pie - Peanut Butter - V,440,29,38,Corner Bakery Cafe
Cappuccino - Whole,190,10,15,Corner Bakery Cafe
Truffle Hot Chocolate w/Whipped Cream - Whole,350,17,50,Corner Bakery Cafe
Caramel Latte - Nonfat,410,2,84,Corner Bakery Cafe
Truffle Mocha - Nonfat,400,1,98,Corner Bakery Cafe
Old Fashioned Lemonade - VG,260,0,68,Corner Bakery Cafe
Frozen Mango Lemonade - VG,700,0,182,Corner Bakery Cafe
Country Boule - VG (slice),80,0,16,Corner Bakery Cafe
Steakhouse Rye - VG (whole),1990,15,393,Corner Bakery Cafe
Add Spread - Country Dijon Mustard (Combo),5,0,0,Corner Bakery Cafe
Corner Club (Combo),365,15,36,Corner Bakery Cafe
Kids' Cheesy Scrambler w/Toast &amp; Bacon,380,24,22,Corner Bakery Cafe
Peanut Butter &amp; Jelly Sandwich - V (Whole),730,34,93,Corner Bakery Cafe
Chocolate Baby Bundt Cake - V,580,30,70,Corner Bakery Cafe
Snickerdoodle Cookie - V,290,10,47,Corner Bakery Cafe
Cream Cheese Brownie - V,590,37,53,Corner Bakery Cafe
Caramel Latte - Whole,650,17,108,Corner Bakery Cafe
Latte - Nonfat,120,0,16,Corner Bakery Cafe
Chai Latte - Whole,340,18,25,Corner Bakery Cafe
Traditional Sesame Baguette - VG (slice),50,1,8,Corner Bakery Cafe
Country Large Oblong - VG (whole),4220,16,862,Corner Bakery Cafe
Pretzel Demi - V,410,5,77,Corner Bakery Cafe
Mom's Egg Salad on White Bread (Whole),500,25,48,Corner Bakery Cafe
Green Chile &amp; Chicken (Combo),370,13,36,Corner Bakery Cafe
